player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s,minutes,tackles_won_per90,interceptions_per90,fouls_per90,fouled_per90
Anthony Elanga,"MF,FW",Sweden,24,2.4,0,7,2,0,Knockout stage,4.0,216,0.0,0.8333333333333334,0.0,2.916666666666667
Anthony Gordon,MF,England,25,4.4,4,10,3,3,Knockout stage,8.3,396,0.6818181818181818,0.6818181818181818,0.9090909090909091,2.2727272727272725
Antoine Semenyo,"MF,FW",Ghana,26,4.0,6,4,0,2,Knockout stage,4.0,360,0.5,0.0,1.5,1.0
Antonee Robinson,"DF,MF",USA,28,3.9,4,1,6,4,Knockout stage,5.0,351,1.0256410256410258,1.5384615384615385,1.0256410256410258,0.25641025641025644
Ao Tanaka,MF,Japan,27,2.1,6,2,1,6,Knockout stage,4.0,189,2.857142857142857,0.47619047619047616,2.857142857142857,0.9523809523809523
Aurélien Tchouaméni,MF,France,26,4.0,4,3,6,14,Knockout stage,8.0,360,3.5,1.5,1.0,0.75
Ayyoub Bouaddi,MF,Morocco,18,4.2,3,6,1,3,Knockout stage,6.3,378,0.7142857142857143,0.23809523809523808,0.7142857142857143,1.4285714285714286
Aziz Behich,MF,Australia,35,2.4,1,4,1,4,Knockout stage,4.3,216,1.6666666666666667,0.4166666666666667,0.4166666666666667,1.6666666666666667
Azzedine Ounahi,MF,Morocco,26,4.8,3,7,1,1,Knockout stage,6.3,432,0.20833333333333334,0.20833333333333334,0.625,1.4583333333333335
Benjamin Tahirovic,MF,Bosnia–Herz,23,2.6,3,2,4,4,Knockout stage,4.0,234,1.5384615384615383,1.5384615384615383,1.1538461538461537,0.7692307692307692
