player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s
"Riyad Mahrez","MF","Algeria",35,2.9,1,7,1,2,"Knockout stage",4
"Roberto Alvarado","FW,MF","Mexico",27,4.8,3,5,2,3,"Knockout stage",5
"Rodri","MF","Spain",29,8,11,9,3,20,"Knockout stage",8.3
"Rodrigo De Paul","MF","Argentina",32,5.5,2,5,6,4,"Knockout stage",9
"Romano Schmid","MF,FW","Austria",26,2.9,3,4,0,4,"Knockout stage",4
"Ruben Vargas","MF","Switzerland",27,3.2,6,6,2,2,"Knockout stage",6.7
"Ryan Gravenberch","MF","Netherlands",24,3.8,5,3,6,1,"Knockout stage",4.3
"Ryan Mendes","FW,MF","Cabo Verde",36,3.7,1,2,5,2,"Knockout stage",4.3
"Sadio Mané","MF,FW","Senegal",34,4,4,10,3,2,"Knockout stage",4.3
"Samuel Moutoussamy","MF","Congo DR",29,3.7,8,1,1,8,"Knockout stage",4
"Sander Berge","MF","Norway",28,5.3,6,2,9,4,"Knockout stage",6.3
"Sebastian Berhalter","MF","USA",25,2.1,5,6,3,0,"Knockout stage",5
"Sergiño Dest","MF","USA",25,3.3,2,4,5,1,"Knockout stage",5
"Sphephelo Sithole","MF","South Africa",27,2.5,5,1,5,5,"Knockout stage",4
"Stephen Eustáquio","MF","Canada",29,4.4,2,7,3,5,"Knockout stage",5
"Tajon Buchanan","MF","Canada",27,4.2,5,8,1,5,"Knockout stage",5
"Teboho Mokoena","MF","South Africa",29,3,3,6,5,3,"Knockout stage",4
"Thalente Mbatha","MF","South Africa",26,2.9,4,0,5,2,"Knockout stage",4
"Thapelo Maseko","MF,FW","South Africa",22,2.7,4,10,2,1,"Knockout stage",4
"Thiago Almada","MF","Argentina",25,2.7,2,2,0,4,"Knockout stage",9
"Thomas Partey","MF","Ghana",33,3,2,5,6,4,"Knockout stage",4
"Tijjani Reijnders","MF","Netherlands",27,2.2,0,3,2,0,"Knockout stage",4.3
"Tyler Adams","MF","USA",27,3.8,5,6,8,5,"Knockout stage",5
"Victor Lindelöf","DF,MF","Sweden",31,4,3,0,4,1,"Knockout stage",4
"Vitinha","MF","Portugal",26,4.2,4,5,2,0,"Knockout stage",5
"Weston McKennie","MF","USA",27,4.9,8,2,7,7,"Knockout stage",5
"Xaver Schlager","MF","Austria",28,2.6,6,0,7,3,"Knockout stage",4
"Yan Diomandé","MF,FW","Côte d'Ivoire",19,3.7,2,7,4,6,"Knockout stage",4
"Yasin Ayari","MF","Sweden",22,3.8,4,8,3,4,"Knockout stage",4
"Youri Tielemans","MF","Belgium",29,5.3,7,10,2,6,"Knockout stage",6.3
